datetime,temp,precip,humidity,windspeed,cloudcover,month,day_of_week,is_weekend,season,temp_range,day_length,is_clear,is_rainy,is_cloudy,is_snowy,has_precipitation,month_sin,month_cos,day_of_week_sin,day_of_week_cos,temp_rolling_7d,temp_max_7d,temp_min_7d,precip_sum_7d,humidity_rolling_7d,hot,cold,heavy_precipitation,day_of_year_sin,day_of_year_cos
2024-03-31,28.3,0.0,35.5,22.3,26.8,3,6,1,Spring,14.0,12.364722222222222,0,0,1,0,0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,29.257142857142856,30.3,28.1,0.2,35.25714285714286,0,0,0,0.9999907397361901,0.004303538296244289
2024-04-01,26.9,0.0,30.4,22.3,38.3,4,0,0,Spring,18.0,12.386388888888888,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.0,1.0,29.085714285714285,30.3,26.9,0.2,34.82857142857143,0,0,0,0.9999166586547379,-0.01291029607500882
2024-04-02,27.8,0.0,32.8,16.6,34.8,4,1,0,Spring,16.9,12.408055555555556,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,28.857142857142858,30.3,26.9,0.2,35.128571428571426,0,0,0,0.9995462806873573,-0.030120304846908114
2024-04-03,29.0,0.0,32.2,26.2,31.6,4,2,0,Spring,17.5,12.429722222222223,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,28.671428571428574,30.3,26.9,0.2,35.3,0,0,0,0.9988797155850336,-0.04732138832243185
2024-04-04,28.6,0.0,35.4,14.8,23.3,4,3,0,Spring,15.299999999999997,12.45111111111111,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,28.428571428571427,29.5,26.9,0.2,35.285714285714285,0,0,0,0.9979171608653922,-0.06450844944931623
2024-04-05,27.9,0.0,36.9,21.8,17.9,4,4,0,Spring,15.200000000000003,12.472777777777777,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,28.285714285714285,29.5,26.9,0.0,34.65714285714286,0,0,0,0.9966589017541702,-0.08167639533042241
2024-04-06,28.3,0.0,32.1,20.5,42.7,4,5,1,Spring,16.200000000000003,12.49388888888889,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,28.11428571428571,29.0,26.9,0.0,33.614285714285714,0,0,0,0.9951053111006976,-0.09882013873287143
2024-04-07,28.6,0.0,33.7,12.2,50.4,4,6,1,Spring,13.0,12.515555555555556,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,28.157142857142862,29.0,26.9,0.0,33.357142857142854,0,0,0,0.9932568492674143,-0.11593459959550041
2024-04-08,29.0,0.0,31.3,13.0,17.7,4,0,0,Spring,15.399999999999999,12.536666666666667,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.0,1.0,28.45714285714286,29.0,27.8,0.0,33.48571428571429,0,0,0,0.9911140639934547,-0.1330147065341959
2024-04-09,29.0,0.0,45.7,24.1,19.3,4,1,0,Spring,13.0,12.557777777777778,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,28.62857142857143,29.0,27.9,0.0,35.32857142857143,0,0,0,0.9886775902323405,-0.1500553983446526
2024-04-10,27.9,0.0,55.2,20.0,46.4,4,2,0,Spring,12.0,12.578888888888889,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,28.471428571428568,29.0,27.9,0.0,38.614285714285714,0,0,0,0.9859481499638304,-0.16705162550211924
2024-04-11,27.2,0.0,55.7,29.5,61.5,4,3,0,Spring,9.200000000000003,12.600277777777778,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,28.271428571428572,29.0,27.2,0.0,41.51428571428572,0,0,0,0.9829265519799822,-0.18399835165768005
2024-04-12,28.1,0.8,54.8,22.3,43.7,4,4,0,Spring,11.600000000000001,12.62111111111111,0,1,1,0,1,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,28.3,29.0,27.2,0.8,44.07142857142857,0,0,0,0.9796136916454901,-0.20089055513063506
2024-04-13,27.9,0.0,54.8,20.5,30.6,4,5,1,Spring,12.700000000000003,12.641944444444444,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,28.242857142857144,29.0,27.2,0.8,47.31428571428571,0,0,0,0.9760105506323683,-0.21772323039653177
2024-04-14,29.6,0.0,45.2,22.3,25.7,4,6,1,Spring,12.0,12.662777777777778,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,28.385714285714283,29.6,27.2,0.8,48.957142857142856,0,0,0,0.9721181966290613,-0.23449138957040985
2024-04-15,30.9,0.9,42.8,14.4,32.3,4,0,0,Spring,12.300000000000004,12.683055555555555,0,1,1,0,1,0.8660254037844387,-0.49999999999999983,0.0,1.0,28.657142857142855,30.9,27.2,1.7000000000000002,50.6,1,0,0,0.9679377830240642,-0.25119006388481935
2024-04-16,30.5,0.0,38.6,14.4,13.1,4,1,0,Spring,12.399999999999999,12.703888888888889,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,28.87142857142857,30.9,27.2,1.7000000000000002,49.58571428571429,0,0,0,0.9634705485641488,-0.2678143051621742
2024-04-17,31.8,0.0,30.1,14.0,14.8,4,2,0,Spring,13.500000000000004,12.724166666666667,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,29.428571428571427,31.8,27.2,1.7000000000000002,46.0,1,0,0,0.9587178169872964,-0.2843591872810034
2024-04-18,32.7,0.0,26.8,18.4,21.5,4,3,0,Spring,12.8,12.744722222222222,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,30.214285714285715,32.7,27.9,1.7000000000000002,41.87142857142857,1,0,0,0.9536809966304457,-0.30081980763566735
2024-04-19,32.0,0.0,32.4,17.3,28.0,4,4,0,Spring,12.399999999999999,12.764722222222222,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,30.771428571428572,32.7,27.9,0.9,38.67142857142858,1,0,0,0.9483615800121715,-0.3171912885891061
2024-04-20,30.7,0.0,35.2,24.1,29.2,4,5,1,Spring,13.5,12.785,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,31.17142857142857,32.7,29.6,0.9,35.871428571428574,1,0,0,0.9427611433904207,-0.3334687789181868
2024-04-21,29.6,0.0,36.5,13.0,31.8,4,6,1,Spring,14.0,12.805,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,31.171428571428574,32.7,29.6,0.9,34.62857142857143,0,0,0,0.9368813462954315,-0.3496474552512284
2024-04-22,28.6,4.0,44.1,14.8,31.4,4,0,0,Spring,8.599999999999998,12.825,0,1,1,0,1,0.8660254037844387,-0.49999999999999983,0.0,1.0,30.842857142857145,32.7,28.6,4.0,34.81428571428572,0,0,0,0.9307239310379795,-0.36572252349726897
2024-04-23,29.9,0.0,35.9,22.3,7.8,4,1,0,Spring,15.0,12.844444444444445,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,30.75714285714286,32.7,28.6,4.0,34.42857142857143,0,0,0,0.9242907221930934,-0.3816892202666588
2024-04-24,30.8,0.0,30.3,20.5,7.2,4,2,0,Spring,16.0,12.863888888888889,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.9749279121818236,-0.22252093395631434,30.614285714285717,32.7,28.6,4.0,34.457142857142856,1,0,0,0.9175836260593937,-0.39754281428255595
2024-04-25,31.4,0.0,31.5,13.0,38.5,4,3,0,Spring,13.100000000000001,12.883611111111112,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.43388373911755823,-0.900968867902419,30.428571428571427,32.0,28.6,4.0,35.128571428571426,1,0,0,0.9106046300942163,-0.4132786077829042
2024-04-26,29.2,0.1,45.0,14.8,56.6,4,4,0,Spring,7.0,12.902777777777779,0,1,1,0,1,0.8660254037844387,-0.49999999999999983,-0.433883739117558,-0.9009688679024191,30.02857142857143,31.4,28.6,4.1,36.92857142857143,0,0,0,0.9033558023246845,-0.4288919379124835
2024-04-27,30.7,0.0,40.7,14.8,39.5,4,5,1,Spring,15.0,12.921944444444444,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.9749279121818236,-0.2225209339563146,30.028571428571432,31.4,28.6,4.1,37.714285714285715,1,0,0,0.895839290734909,-0.4443781781046132
2024-04-28,31.3,0.0,28.3,16.6,31.7,4,6,1,Spring,15.0,12.940555555555555,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,-0.7818314824680299,0.6234898018587334,30.27142857142857,31.4,28.6,4.1,36.542857142857144,1,0,0,0.8880573226294932,-0.45973273945210397
2024-04-29,31.9,0.0,28.4,25.9,25.6,4,0,0,Spring,12.8,12.959166666666667,0,0,1,0,0,0.8660254037844387,-0.49999999999999983,0.0,1.0,30.74285714285714,31.9,29.2,0.1,34.3,1,0,0,0.8800122039735357,-0.47495107206704995
2024-04-30,31.1,0.0,25.9,25.9,2.1,4,1,0,Spring,15.299999999999997,12.978055555555555,1,0,0,0,0,0.8660254037844387,-0.49999999999999983,0.7818314824680298,0.6234898018587336,30.91428571428571,31.9,29.2,0.1,32.871428571428574,1,0,0,0.8717063187093218,-0.49002866642905923
2024-05-01,29.6,0.0,22.1,24.1,0.7,5,2,0,Spring,16.0,12.99638888888889,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,30.742857142857144,31.9,29.2,0.1,31.7,0,0,0,0.8631421280499114,-0.5049610547215204
2024-05-02,29.2,0.0,18.2,14.8,8.8,5,3,0,Spring,17.0,13.014444444444445,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,30.428571428571427,31.9,29.2,0.1,29.8,0,0,0,0.854322169749827,-0.5197438121555155
2024-05-03,30.7,0.0,19.7,18.4,8.6,5,4,0,Spring,15.600000000000001,13.0325,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,30.642857142857142,31.9,29.2,0.0,26.185714285714287,1,0,0,0.8452490573530633,-0.5343725582809787
2024-05-04,32.1,0.0,24.5,17.6,34.8,5,5,1,Spring,15.5,13.050277777777778,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,30.842857142857138,32.1,29.2,0.0,23.871428571428574,1,0,0,0.835925479418637,-0.548842958284719
2024-05-05,31.7,0.0,35.0,27.7,39.1,5,6,1,Spring,10.600000000000001,13.067777777777778,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,30.900000000000002,32.1,29.2,0.0,24.82857142857143,1,0,0,0.8263541987239096,-0.5631507242749186
2024-05-06,31.8,0.0,37.3,24.1,26.5,5,0,0,Spring,12.799999999999997,13.085,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,30.885714285714283,32.1,29.2,0.0,26.099999999999998,1,0,0,0.8165380514459161,-0.5772916165517272
2024-05-07,32.0,0.0,37.8,20.0,13.8,5,1,0,Spring,16.0,13.102222222222222,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,31.014285714285716,32.1,29.2,0.0,27.799999999999994,1,0,0,0.8064799463209448,-0.5912614448635781
2024-05-08,31.3,7.0,45.9,23.5,29.5,5,2,0,Spring,15.0,13.11888888888889,0,1,1,0,1,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,31.257142857142856,32.1,29.2,7.0,31.199999999999996,1,0,1,0.7961828637826158,-0.6050560696488488
2024-05-09,31.7,0.0,44.2,18.4,35.9,5,3,0,Spring,15.5,13.135555555555555,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,31.614285714285717,32.1,30.7,7.0,34.91428571428572,1,0,0,0.7856498550787145,-0.6186714032625031
2024-05-10,31.7,0.0,45.4,37.1,24.7,5,4,0,Spring,15.0,13.151944444444444,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,31.75714285714286,32.1,31.3,7.0,38.58571428571428,1,0,0,0.7748840413670407,-0.6321034111873487
2024-05-11,31.6,0.0,43.0,16.6,33.9,5,5,1,Spring,13.0,13.168333333333333,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,31.685714285714283,32.0,31.3,7.0,41.22857142857142,1,0,0,0.7638886127905428,-0.6453481132295501
2024-05-12,32.1,0.0,39.9,16.6,41.6,5,6,1,Spring,12.0,13.18388888888889,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,31.74285714285714,32.1,31.3,7.0,41.92857142857143,1,0,0,0.7526668275320084,-0.6584015846980488
2024-05-13,29.7,7.0,50.2,20.5,43.3,5,0,0,Spring,14.0,13.199722222222222,0,1,1,0,1,0.49999999999999994,-0.8660254037844387,0.0,1.0,31.442857142857143,32.1,29.7,14.0,43.77142857142858,0,0,1,0.741222010848596,-0.6712599575675313
2024-05-14,29.2,0.1,45.9,24.1,51.6,5,1,0,Spring,16.1,13.214722222222223,0,1,1,0,1,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,31.042857142857144,32.1,29.2,14.1,44.92857142857143,0,0,0,0.7295575540864875,-0.6839194216246106
2024-05-15,30.8,0.0,41.9,16.6,54.6,5,2,0,Spring,13.3,13.23,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,30.97142857142857,32.1,29.2,7.1,44.357142857142854,1,0,0,0.717676913675962,-0.6963762255968722
2024-05-16,32.5,0.0,37.1,14.8,25.2,5,3,0,Spring,15.0,13.244444444444444,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,31.08571428571429,32.5,29.2,7.1,43.34285714285714,1,0,0,0.705583610107178,-0.7086266782644596
2024-05-17,32.0,5.0,39.9,25.4,56.4,5,4,0,Spring,11.3,13.259166666666667,0,1,1,0,1,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,31.12857142857143,32.5,29.2,12.1,42.557142857142864,1,0,0,0.6932812268869777,-0.7206671495538609
2024-05-18,33.1,0.0,36.4,20.5,40.5,5,5,1,Spring,16.0,13.273333333333333,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,31.342857142857145,33.1,29.2,12.1,41.614285714285714,1,0,0,0.6807734094770161,-0.7324940716135789
2024-05-19,35.7,0.0,29.1,22.3,35.2,5,6,1,Spring,13.200000000000003,13.286944444444444,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,31.85714285714286,35.7,29.2,12.1,40.07142857142857,1,0,0,0.6680638642135335,-0.7441039398713607
2024-05-20,35.2,0.0,28.9,16.6,29.8,5,0,0,Spring,13.600000000000001,13.300555555555556,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,32.642857142857146,35.7,29.2,5.1,37.028571428571425,1,0,0,0.6551563572090853,-0.7554933140726803
2024-05-21,35.2,0.0,33.3,16.6,36.7,5,1,0,Spring,13.299999999999997,13.313611111111111,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,33.50000000000001,35.7,30.8,5.0,35.228571428571435,1,0,0,0.6420547132365637,-0.766658819300159
2024-05-22,36.6,0.0,27.2,14.8,41.1,5,2,0,Spring,12.0,13.32638888888889,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,34.32857142857143,36.6,32.0,5.0,33.128571428571426,1,0,0,0.6287628145958344,-0.777597146973627
2024-05-23,36.6,0.0,29.8,18.4,41.1,5,3,0,Spring,14.0,13.338888888888889,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,34.91428571428572,36.6,32.0,5.0,32.08571428571429,1,0,0,0.6152845999633276,-0.7883050558305255
2024-05-24,36.6,0.0,31.5,24.1,26.4,5,4,0,Spring,13.599999999999998,13.350833333333334,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,35.57142857142857,36.6,33.1,0.0,30.885714285714283,1,0,0,0.6016240632249226,-0.7987793728863649
2024-05-25,36.1,0.0,31.4,20.5,26.5,5,5,1,Spring,11.200000000000003,13.3625,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,-0.9749279121818236,-0.2225209339563146,36.00000000000001,36.6,35.2,0.0,30.17142857142857,1,0,0,0.5877852522924732,-0.8090169943749473
2024-05-26,33.7,0.5,47.0,25.9,41.0,5,6,1,Spring,12.100000000000001,13.374166666666667,0,1,1,0,1,0.49999999999999994,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,35.714285714285715,36.6,33.7,0.5,32.72857142857143,1,0,0,0.5737722679043246,-0.8190148866680801
2024-05-27,35.1,0.0,44.0,27.7,19.0,5,0,0,Spring,12.200000000000003,13.385277777777778,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.0,1.0,35.7,36.6,33.7,0.5,34.885714285714286,1,0,0,0.5595892624101765,-0.8287700871745037
2024-05-28,33.4,0.0,50.7,38.0,5.8,5,1,0,Spring,13.299999999999997,13.395555555555555,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,35.44285714285714,36.6,33.4,0.5,37.37142857142857,1,0,0,0.545240438540651,-0.8382797052177743
2024-05-29,32.5,0.0,52.0,30.0,9.2,5,2,0,Spring,13.5,13.405833333333334,1,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,34.857142857142854,36.6,32.5,0.5,40.91428571428571,1,0,0,0.5307300481619334,-0.8475409228928311
2024-05-30,32.5,0.0,52.1,27.7,31.5,5,3,0,Spring,11.299999999999997,13.415833333333333,0,0,1,0,0,0.49999999999999994,-0.8660254037844387,0.43388373911755823,-0.900968867902419,34.27142857142857,36.6,32.5,0.5,44.1,1,0,0,0.5160623910158528,-0.8565509959010036
