BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,COLLISION_ID,VEHICLE TYPE CODE 1,CRASH_DATETIME,hour,day,month
QUEENS,11354.0,40.765354,-73.81733,"(40.765354, -73.81733)",3,0,Following Too Closely,4702619,Sedan,2024-02-14 21:52:00,21,2,2
QUEENS,11105.0,40.77652,-73.915924,"(40.77652, -73.915924)",1,0,Failure to Yield Right-of-Way,4703328,Sedan,2024-02-14 22:26:00,22,2,2
QUEENS,11362.0,40.749912,-73.738815,"(40.749912, -73.738815)",1,0,Failure to Yield Right-of-Way,4702522,Station Wagon/Sport Utility Vehicle,2024-02-14 08:30:00,8,2,2
QUEENS,11356.0,40.78928,-73.84095,"(40.78928, -73.84095)",0,0,Following Too Closely,4702603,Station Wagon/Sport Utility Vehicle,2024-02-14 08:25:00,8,2,2
QUEENS,11412.0,40.703403,-73.75322,"(40.703403, -73.75322)",0,0,Failure to Yield Right-of-Way,4703178,Sedan,2024-02-14 06:50:00,6,2,2
QUEENS,11364.0,40.734943,-73.751396,"(40.734943, -73.751396)",0,0,Driver Inattention/Distraction,4702700,Station Wagon/Sport Utility Vehicle,2024-02-14 22:00:00,22,2,2
QUEENS,11370.0,40.755737,-73.89679,"(40.755737, -73.89679)",0,0,Driver Inattention/Distraction,4702895,Station Wagon/Sport Utility Vehicle,2024-02-14 23:20:00,23,2,2
QUEENS,11105.0,40.778683,-73.90635,"(40.778683, -73.90635)",1,0,Pavement Slippery,4702501,Sedan,2024-02-14 00:33:00,0,2,2
QUEENS,11373.0,40.74427,-73.87137,"(40.74427, -73.87137)",0,0,Unspecified,4702676,Sedan,2024-02-14 04:00:00,4,2,2
QUEENS,11434.0,40.680096,-73.763596,"(40.680096, -73.763596)",0,0,Turning Improperly,4703035,Sedan,2024-02-14 07:40:00,7,2,2
QUEENS,11435.0,40.703823,-73.8088,"(40.703823, -73.8088)",0,0,Driver Inattention/Distraction,4702666,Sedan,2024-02-14 21:00:00,21,2,2
QUEENS,11105.0,40.769917,-73.901924,"(40.769917, -73.901924)",1,0,Failure to Yield Right-of-Way,4702919,Station Wagon/Sport Utility Vehicle,2024-02-14 07:55:00,7,2,2
QUEENS,11421.0,40.68976,-73.85619,"(40.68976, -73.85619)",0,0,Unsafe Lane Changing,4702727,Sedan,2024-02-14 00:58:00,0,2,2
QUEENS,11420.0,40.672314,-73.8036,"(40.672314, -73.8036)",0,0,Traffic Control Disregarded,4702442,Station Wagon/Sport Utility Vehicle,2024-02-14 00:25:00,0,2,2
QUEENS,11420.0,40.667606,-73.80416,"(40.667606, -73.80416)",0,0,Failure to Yield Right-of-Way,4703407,Station Wagon/Sport Utility Vehicle,2024-02-14 14:00:00,14,2,2
QUEENS,11361.0,40.770226,-73.78757,"(40.770226, -73.78757)",1,0,Following Too Closely,4702699,Station Wagon/Sport Utility Vehicle,2024-02-14 17:00:00,17,2,2
QUEENS,11105.0,40.773834,-73.915375,"(40.773834, -73.915375)",1,0,Unsafe Speed,4703327,Sedan,2024-02-14 00:35:00,0,2,2
QUEENS,11372.0,40.749542,-73.881424,"(40.749542, -73.881424)",3,0,Other Vehicular,4702561,Taxi,2024-02-14 02:57:00,2,2,2
QUEENS,11368.0,40.749966,-73.861755,"(40.749966, -73.861755)",0,0,Backing Unsafely,4703451,Station Wagon/Sport Utility Vehicle,2024-02-14 21:50:00,21,2,2
QUEENS,11361.0,40.76524,-73.77689,"(40.76524, -73.77689)",0,0,Other Vehicular,4702521,Sedan,2024-02-14 09:00:00,9,2,2
QUEENS,11427.0,40.726707,-73.74752,"(40.726707, -73.74752)",2,0,Pavement Slippery,4702588,Sedan,2024-02-14 17:00:00,17,2,2
QUEENS,11368.0,40.75478,-73.84296,"(40.75478, -73.84296)",0,0,Unspecified,4702677,Station Wagon/Sport Utility Vehicle,2024-02-14 11:28:00,11,2,2
QUEENS,11420.0,40.677868,-73.81404,"(40.677868, -73.81404)",0,0,Other Vehicular,4703406,Sedan,2024-02-14 18:50:00,18,2,2
QUEENS,11691.0,40.59778,-73.73974,"(40.59778, -73.73974)",0,0,Obstruction/Debris,4702546,Station Wagon/Sport Utility Vehicle,2024-02-14 11:45:00,11,2,2
QUEENS,11363.0,40.76226,-73.75699,"(40.76226, -73.75699)",0,0,Reaction to Uninvolved Vehicle,4702701,Station Wagon/Sport Utility Vehicle,2024-02-14 22:30:00,22,2,2
QUEENS,11373.0,40.733498,-73.87038,"(40.733498, -73.87038)",0,0,Passing Too Closely,4703372,Box Truck,2024-02-14 07:10:00,7,2,2
QUEENS,11354.0,40.76536,-73.82787,"(40.76536, -73.82787)",0,0,Following Too Closely,4702607,Station Wagon/Sport Utility Vehicle,2024-02-14 17:17:00,17,2,2
QUEENS,11364.0,40.73366,-73.758965,"(40.73366, -73.758965)",0,0,Driver Inattention/Distraction,4703334,Station Wagon/Sport Utility Vehicle,2024-02-14 19:10:00,19,2,2
QUEENS,11414.0,40.669235,-73.845314,"(40.669235, -73.845314)",1,0,Following Too Closely,4702556,Van,2024-02-14 15:15:00,15,2,2
QUEENS,11413.0,40.67729,-73.743935,"(40.67729, -73.743935)",1,0,Lost Consciousness,4702857,Station Wagon/Sport Utility Vehicle,2024-02-14 13:59:00,13,2,2
QUEENS,11373.0,40.732105,-73.88172,"(40.732105, -73.88172)",0,0,Unspecified,4702688,Station Wagon/Sport Utility Vehicle,2024-02-14 14:40:00,14,2,2
QUEENS,11106.0,40.76282,-73.92029,"(40.76282, -73.92029)",1,0,Traffic Control Disregarded,4702921,Station Wagon/Sport Utility Vehicle,2024-02-14 22:11:00,22,2,2
QUEENS,11101.0,40.753227,-73.94672,"(40.753227, -73.94672)",1,0,Unspecified,4702821,Bike,2024-02-14 21:38:00,21,2,2
QUEENS,11432.0,40.714905,-73.77445,"(40.714905, -73.77445)",0,0,Driver Inattention/Distraction,4702664,Sedan,2024-02-14 17:30:00,17,2,2
QUEENS,11364.0,40.73319,-73.76177,"(40.73319, -73.76177)",0,0,Following Too Closely,4702698,Station Wagon/Sport Utility Vehicle,2024-02-14 21:06:00,21,2,2
QUEENS,11372.0,40.755264,-73.88817,"(40.755264, -73.88817)",1,0,Following Too Closely,4703188,Station Wagon/Sport Utility Vehicle,2024-02-14 07:43:00,7,2,2
QUEENS,11101.0,40.755657,-73.94569,"(40.755657, -73.94569)",1,0,View Obstructed/Limited,4703325,Sedan,2024-02-14 09:33:00,9,2,2
QUEENS,11697.0,40.559856,-73.920586,"(40.559856, -73.920586)",0,0,Backing Unsafely,4703613,Sedan,2024-02-14 15:20:00,15,2,2
QUEENS,11433.0,40.69158,-73.79319,"(40.69158, -73.79319)",1,0,Unspecified,4703882,Sedan,2024-02-14 07:25:00,7,2,2
QUEENS,11693.0,40.5867,-73.81704,"(40.5867, -73.81704)",0,0,Unspecified,4703990,Sedan,2024-02-14 21:25:00,21,2,2
QUEENS,11434.0,40.66743,-73.76676,"(40.66743, -73.76676)",1,0,Passing Too Closely,4704183,Station Wagon/Sport Utility Vehicle,2024-02-14 22:30:00,22,2,2
QUEENS,11428.0,40.728344,-73.735466,"(40.728344, -73.735466)",1,0,Unspecified,4704148,Sedan,2024-02-14 17:36:00,17,2,2
QUEENS,11385.0,40.70456,-73.856735,"(40.70456, -73.856735)",1,0,Driver Inattention/Distraction,4704345,Motorscooter,2024-02-14 15:20:00,15,2,2
QUEENS,11385.0,40.706226,-73.886536,"(40.706226, -73.886536)",0,0,Driver Inattention/Distraction,4704344,Station Wagon/Sport Utility Vehicle,2024-02-14 11:06:00,11,2,2
QUEENS,11364.0,40.74554,-73.7768,"(40.74554, -73.7768)",1,0,Driver Inattention/Distraction,4704409,Station Wagon/Sport Utility Vehicle,2024-02-14 16:48:00,16,2,2
QUEENS,11103.0,40.76464,-73.916595,"(40.76464, -73.916595)",1,0,Failure to Yield Right-of-Way,4704656,Sedan,2024-02-14 18:17:00,18,2,2
QUEENS,11417.0,40.67249,-73.85186,"(40.67249, -73.85186)",2,0,Backing Unsafely,4705891,Sedan,2024-02-14 19:53:00,19,2,2
QUEENS,11434.0,40.671825,-73.774506,"(40.671825, -73.774506)",1,0,Turning Improperly,4710929,Sedan,2024-02-14 14:30:00,14,2,2
QUEENS,11418.0,40.700546,-73.83674,"(40.700546, -73.83674)",1,0,Failure to Keep Right,4703580,Station Wagon/Sport Utility Vehicle,2024-02-15 18:20:00,18,3,2
QUEENS,11691.0,40.604965,-73.7555,"(40.604965, -73.7555)",0,0,Physical Disability,4703055,Station Wagon/Sport Utility Vehicle,2024-02-15 13:30:00,13,3,2
QUEENS,11373.0,40.739388,-73.87121,"(40.739388, -73.87121)",0,0,Driver Inattention/Distraction,4702936,Sedan,2024-02-15 15:00:00,15,3,2
QUEENS,11421.0,40.686207,-73.85569,"(40.686207, -73.85569)",1,0,Passing Too Closely,4703042,Moped,2024-02-15 18:13:00,18,3,2
QUEENS,11361.0,40.762436,-73.77238,"(40.762436, -73.77238)",1,0,Unspecified,4703152,Station Wagon/Sport Utility Vehicle,2024-02-15 16:47:00,16,3,2
QUEENS,11413.0,40.66534,-73.75482,"(40.66534, -73.75482)",2,0,Following Too Closely,4702959,Sedan,2024-02-15 23:45:00,23,3,2
QUEENS,11434.0,40.68199,-73.788414,"(40.68199, -73.788414)",0,0,Unsafe Lane Changing,4703336,Sedan,2024-02-15 06:10:00,6,3,2
QUEENS,11101.0,40.75869,-73.9436,"(40.75869, -73.9436)",0,0,Driver Inattention/Distraction,4703257,Sedan,2024-02-15 03:00:00,3,3,2
QUEENS,11420.0,40.675766,-73.81685,"(40.675766, -73.81685)",0,0,Unspecified,4703409,Sedan,2024-02-15 17:24:00,17,3,2
